***********************************************************
 Czas           Środek         Powierzchnia   dT           

 0.0            100.0          106.367448514  6.36744851450
 1.11809923130  100.000000000  108.789939838  8.78993983881
 2.23619846261  100.000000000  110.586288834  10.5862888346
 3.35429769392  100.000000000  112.057736978  12.0577369781
 4.47239692522  100.000000000  113.324784161  13.3247841613
 5.59049615653  100.000000000  114.448596658  14.4485966580
 6.70859538784  100.000000001  115.465049360  15.4650493595
 7.82669461914  100.000000004  116.397260755  16.3972607509
 8.94479385045  100.000000014  117.261142603  17.2611425886
 10.0628930817  100.000000040  118.068191682  18.0681916413
 11.1809923130  100.000000102  118.827030779  18.8270306768
 12.2990915443  100.000000239  119.544321382  19.5443211430
 13.4171907756  100.000000525  120.225334995  20.2253344693
 14.5352900069  100.000001091  120.874327086  20.8743259945
 15.6533892382  100.000002154  121.494791027  21.4947888737
 16.7714884696  100.000004061  122.089635942  22.0896318811
 17.8895877009  100.000007350  122.661314571  22.6613072217
 19.0076869322  100.000012812  123.211917312  23.2119045005
 20.1257861635  100.000021586  123.743242759  23.7432211729
 21.2438853948  100.000035252  124.256851528  24.2568162759
 22.3619846261  100.000055953  124.754107984  24.7540520312
 23.4800838574  100.000086512  125.236213007  25.2361264950
 24.5981830887  100.000130572  125.704230063  25.7040994909
 25.7162823200  100.000192731  126.159106166  26.1589134350
 26.8343815513  100.000278685  126.601688910  26.6014102249
 27.9524807826  100.000395363  127.032740427  27.0323450638
 29.0705800139  100.000551055  127.452948927  27.4523978720
 30.1886792452  100.000755536  127.862938320  27.8621827837
 31.3067784765  100.001020164  128.263276273  28.2622561093
 32.4248777078  100.001357972  128.654481035  28.6531230625
 33.5429769392  100.001783736  129.037027217  29.0352434811
 34.6610761705  100.002314018  129.411350746  29.4090367280
 35.7791754018  100.002967198  129.777853114  29.7748859166
 36.8972746331  100.003763469  130.136905045  30.1331415764
 38.0153738644  100.004724825  130.488849680  30.4841248552
 39.1334730957  100.005875020  130.834005350  30.8281303309
 40.2515723270  100.007239504  131.172668000  31.1654284954
 41.3696715583  100.008845355  131.505113317  31.4962679618
 42.4877707896  100.010721175  131.831598609  31.8208774337
 43.6058700209  100.012896992  132.152364464  32.1394674723
 44.7239692522  100.015404132  132.467636219  32.4522320871
 45.8420684835  100.018275100  132.777625276  32.7593501755
 46.9601677148  100.021543434  133.082530262  33.0609868276
 48.0782669461  100.025243570  133.382538085  33.3572945148
 49.1963661774  100.029410694  133.677824867  33.6484141735
 50.3144654088  100.034080595  133.968556791  33.9344761963
 51.4325646401  100.039289522  134.254890862  34.2156013404
 52.5506638714  100.045074035  134.536975595  34.4919015603
 53.6687631027  100.051470868  134.814951641  34.7634807731
 54.7868623340  100.058516788  135.088952350  35.0304355618
 55.9049615653  100.066248467  135.359104290  35.2928558226
 57.0230607966  100.074702352  135.625527712  35.5508253596
 58.1411600279  100.083914550  135.888336982  35.8044224329
 59.2592592592  100.093920711  136.147640973  36.0537202625
 60.3773584905  100.104755930  136.403543422  36.2987874915
 61.4954577218  100.116454647  136.656143260  36.5396886129
 62.6135569531  100.129050557  136.905534918  36.7764843605
 63.7316561844  100.142576533  137.151808602  37.0092320689
 64.8497554157  100.157064551  137.395050554  37.2379860035
 65.9678546470  100.172545626  137.635343288  37.4627976624
 67.0859538784  100.189049754  137.872765808  37.6837160537
 68.2040531097  100.206605865  138.107393814  37.9007879485
 69.3221523410  100.225241777  138.339299889  38.1140581122
 70.4402515723  100.244984159  138.568553674  38.3235695155
 71.5583508036  100.265858507  138.795222033  38.5293635264
 72.6764500349  100.287889115  139.019369200  38.7314800852
 73.7945492662  100.311099060  139.241056923  38.9299578629
 74.9126484975  100.335510190  139.460344595  39.1248344051
 76.0307477288  100.361143114  139.677289377  39.3161462622
 77.1488469601  100.388017203  139.891946309  39.5039291064
 78.2669461914  100.416150585  140.104368423  39.6882178380
 79.3850454227  100.445560160  140.314606840  39.8690466799
 80.5031446540  100.476261600  140.522710864  40.0464492631
 81.6212438853  100.508269366  140.728728069  40.2204587026
 82.7393431167  100.541596721  140.932704386  40.3911076654
 83.8574423480  100.576255747  141.134684178  40.5584284306
 84.9755415793  100.612257370  141.334710312  40.7224529426
 86.0936408106  100.649611373  141.532824231  40.8832128581
 87.2117400419  100.688326429  141.729066016  41.0407395872
 88.3298392732  100.728410119  141.923474449  41.1950643294
 89.4479385045  100.769868964  142.116087069  41.3462181044
 90.5660377358  100.812708450  142.306940228  41.4942317789
 91.6841369671  100.856933055  142.496069144  41.6391360896
 92.8022361984  100.902546283  142.683507945  41.7809616622
 93.9203354297  100.949550690  142.869289717  41.9197390275
 95.0384346610  100.997947917  143.053446551  42.0554986346
 96.1565338923  101.047738718  143.236009579  42.1882708614
 97.2746331236  101.098922994  143.417009017  42.3180860227
 98.3927323549  101.151499821  143.596474198  42.4449743767
 99.5108315863  101.205467484  143.774433613  42.5689661288
 100.628930817  101.260823504  143.950914939  42.6900914348
 101.747030048  101.317564671  144.125945073  42.8083804018
 102.865129280  101.375687076  144.299550164  42.9238630883
 103.983228511  101.435186134  144.471755637  43.0365695031
 105.101327742  101.496056622  144.642586226  43.1465296030
 106.219426974  101.558292703  144.812065993  43.2537732901
 107.337526205  101.621887954  144.980218362  43.3583304077
 108.455625436  101.686835396  145.147066133  43.4602307368
 109.573724668  101.753127522  145.312631512  43.5595039905
 110.691823899  101.820756319  145.476936128  43.6561798095
 111.809923130  101.889713300  145.640001055  43.7502877559
 112.928022361  101.959989525  145.801846833  43.8418573079
 114.046121593  102.031575629  145.962493483  43.9309178538
 115.164220824  102.104461843  146.121960529  44.0174986855
 116.282320055  102.178638019  146.280267012  44.1016289923
 117.400419287  102.254093653  146.437431508  44.1833378550
 118.518518518  102.330817905  146.593472144  44.2626542391
 119.636617749  102.408799622  146.748406611  44.3396069890
 120.754716981  102.488027358  146.902252179  44.4142248213
 121.872816212  102.568489395  147.055025714  44.4865363188
 122.990915443  102.650173761  147.206743686  44.5565699248
 124.109014675  102.733068247  147.357422184  44.6243539368
 125.227113906  102.817160428  147.507076929  44.6899165009
 126.345213137  102.902437679  147.655723285  44.7532856061
 127.463312368  102.988887190  147.803376269  44.8144890794
 128.581411600  103.076495984  147.950050563  44.8735545796
 129.699510831  103.165250931  148.095760524  44.9305095933
